"";"id";"text";"title";"abstract";"keywords";"methods";"type";"authors";"affiliation";"source";"year";"volume";"issue";"startpage";"endpage";"doi";"language";"database"
"21";"Marco_2017_ResePoli";"The paper analyses the recent evolution of international markets for technology by examining changes in ownership of US granted patents. We study the effects of the geographical origin of patents, proxied by their first priority country, on the probability of patents being traded, on the timing of the transaction and on the probability of observing a cross-border transaction, while controlling for the characteristics of the patents, the time and sector specificities. The analyses are based on a comprehensive dataset that covers all the patents granted by the USPTO over the 20022012 period. The data from the US patent reassignment database have been cleaned and processed and a subset of 95,542 granted patents that have been traded has been identified. We obtain evidence from survival models that there has been an increase in the rate of patent transactions in recent years. The obtained results indicate that patents with a first non-US original applicant have less probability of being traded and show a longer time to transaction than US first priority patents. We also find that more science-based patents, which are usually characterized by a higher technological uncertainty, are more likely to be traded, but are much less likely to be involved in cross-border deals. The results are discussed in light of the impact of asymmetric information and search costs on international patent transactions. Markets for technology and Patent reassignments and Patent trading and Geographical origin";"Global markets for technology Evidence from patent transactions";"The paper analyses the recent evolution of international markets for technology by examining changes in ownership of US granted patents. We study the effects of the geographical origin of patents, proxied by their first priority country, on the probability of patents being traded, on the timing of the transaction and on the probability of observing a cross-border transaction, while controlling for the characteristics of the patents, the time and sector specificities. The analyses are based on a comprehensive dataset that covers all the patents granted by the USPTO over the 20022012 period. The data from the US patent reassignment database have been cleaned and processed and a subset of 95,542 granted patents that have been traded has been identified. We obtain evidence from survival models that there has been an increase in the rate of patent transactions in recent years. The obtained results indicate that patents with a first non-US original applicant have less probability of being traded and show a longer time to transaction than US first priority patents. We also find that more science-based patents, which are usually characterized by a higher technological uncertainty, are more likely to be traded, but are much less likely to be involved in cross-border deals. The results are discussed in light of the impact of asymmetric information and search costs on international patent transactions.";"Markets for technology and Patent reassignments and Patent trading and Geographical origin";"";"JOUR";"Marco, Antonio De and Scellato, Giuseppe and Ughetto, Elisa and Caviggioli, Federico";"";"Research Policy";"2017";"46";"9";"1644";"1654";"10.1016/j.respol.2017.07.015";"";"../../data/raw_data/sciencedirect_probability_of_patent.ris"
"22";"Carnevale_2008_JoofVaanInRa";"PURPOSE To evaluate retrospectively the midterm and long-term results of percutaneous endovascular treatment of venous outflow obstruction after pediatric liver transplantation. NA";"Midterm and Long-term Results of Percutaneous Endovascular Treatment of Venous Outflow Obstruction after Pediatric Liver Transplantation";"PURPOSE To evaluate retrospectively the midterm and long-term results of percutaneous endovascular treatment of venous outflow obstruction after pediatric liver transplantation.";NA;"";"JOUR";"Carnevale, Francisco C. and Machado, Alexandre T. and Moreira, Airton M. and De Gregorio, Miguel A. and Suzuki, Lisa and Tannuri, Uenis and Gibelli, Nelson and Maksoud, Joao G. and Cerri, Giovanni G.";"";"Journal of Vascular and Interventional Radiology";"2008";"19";"10";"1439";"1448";"10.1016/j.jvir.2008.06.012";"";"../../data/raw_data/sciencedirect_probability_of_patent.ris"
"23";"Savader_1997_JoofVaanInRa";"Purpose To evaluate patency rates after guide wire directed manipulation of malfunctioning continuous ambulatory peritoneal dialysis (CAPD) catheters. Materials and Methods During a 58-month period, 23 patients underwent 34 outpatient guide wire directed manipulations of their CAPD catheter to improve function (n = 30) or reduce pain and improve function (n = 4) during dialysis. Catheter patency rates were subsequently determined by review of departmental, hospital, and dialysis center charts; procedural reports; and patient telephone interviews. Results Among 12 patients who underwent a single guide wire directed manipulation, long-term (> 30 days) catheter patency was achieved in seven (58%). With use of the Kaplan-Meier survival method, the 3-, 6-, and 12-month probability of patency after a single guide wire manipulation was 0.61, 0.54, and 0.11, respectively. The mean duration of patency achieved in this group was 131 days (range, 2421 days). In those patients (n = 8) who underwent multiple catheter manipulations (n = 19), 11 (58%) procedures resulted in long-term patency, with each patient (100%) achieving at least one such period. The Kaplan-Meier survival method determined the probability of patency in this group at 3, 6, and 12 months to be 0.75, 0.69, and 0.54, respectively. The mean secondary catheter patency was 235 days (range, 2646 days). Overall, 75% of patients followed up achieved at least one period of long-term catheter patency during the time of this study. One (3%) episode of postprocedure peritonitis occurred. Conclusion Guide wire directed CAPD catheter manipulation is a relatively simple outpatient procedure that restores long-term catheter function for most patients with minimal risk for a major complication. Patients with nonfunctioning CAPD catheters who do not have peritonitis or sepsis will most likely benefit from at least one attempt at radiologic manipulation of their catheter. Catheters and catheterization, complications and Dialysis";"Guide Wire Directed Manipulation of Malfunctioning Peritoneal Dialysis Catheters A Critical Analysis";"Purpose To evaluate patency rates after guide wire directed manipulation of malfunctioning continuous ambulatory peritoneal dialysis (CAPD) catheters. Materials and Methods During a 58-month period, 23 patients underwent 34 outpatient guide wire directed manipulations of their CAPD catheter to improve function (n = 30) or reduce pain and improve function (n = 4) during dialysis. Catheter patency rates were subsequently determined by review of departmental, hospital, and dialysis center charts; procedural reports; and patient telephone interviews. Results Among 12 patients who underwent a single guide wire directed manipulation, long-term (> 30 days) catheter patency was achieved in seven (58%). With use of the Kaplan-Meier survival method, the 3-, 6-, and 12-month probability of patency after a single guide wire manipulation was 0.61, 0.54, and 0.11, respectively. The mean duration of patency achieved in this group was 131 days (range, 2421 days). In those patients (n = 8) who underwent multiple catheter manipulations (n = 19), 11 (58%) procedures resulted in long-term patency, with each patient (100%) achieving at least one such period. The Kaplan-Meier survival method determined the probability of patency in this group at 3, 6, and 12 months to be 0.75, 0.69, and 0.54, respectively. The mean secondary catheter patency was 235 days (range, 2646 days). Overall, 75% of patients followed up achieved at least one period of long-term catheter patency during the time of this study. One (3%) episode of postprocedure peritonitis occurred. Conclusion Guide wire directed CAPD catheter manipulation is a relatively simple outpatient procedure that restores long-term catheter function for most patients with minimal risk for a major complication. Patients with nonfunctioning CAPD catheters who do not have peritonitis or sepsis will most likely benefit from at least one attempt at radiologic manipulation of their catheter.";"Catheters and catheterization, complications and Dialysis";"";"JOUR";"Savader, Scott J. and Lund, Gunnar and Scheel, Paul J. and Prescott, Carol and Feeley, Nancy and Singh, Harjit and Osterman, Floyd A.";"";"Journal of Vascular and Interventional Radiology";"1997";"8";"6";"957";"963";"10.1016/S1051-0443(97)70693-6";"";"../../data/raw_data/sciencedirect_probability_of_patent.ris"
"24";"Moussa_2017_ThJoofEcAs";"The aim of this paper is to examine the behavior of patenting abroad using social network analysis on the patent data for 192 countries in the period 19952009. We estimate the metrics of the international patenting network for the years 1995, 2000, 2005 and 2009 in order to recognize and possible evolution of the network. Our findings indicate that in the fifteen years period the international patenting network evolved with increasing number of connections, increasing weights and became more connected. The estimated metrics of the network verified the previous findings of the literature that the countries which exhibit high innovative activity attract patents from abroad. Also, the estimated preferential attachment indicator suggests that the probability of patenting a new patent in a foreign country is highly correlated with the authority index. International patenting and Social network analysis";"International patenting An application of network analysis";"The aim of this paper is to examine the behavior of patenting abroad using social network analysis on the patent data for 192 countries in the period 19952009. We estimate the metrics of the international patenting network for the years 1995, 2000, 2005 and 2009 in order to recognize and possible evolution of the network. Our findings indicate that in the fifteen years period the international patenting network evolved with increasing number of connections, increasing weights and became more connected. The estimated metrics of the network verified the previous findings of the literature that the countries which exhibit high innovative activity attract patents from abroad. Also, the estimated preferential attachment indicator suggests that the probability of patenting a new patent in a foreign country is highly correlated with the authority index.";"International patenting and Social network analysis";"";"JOUR";"Moussa, Bachar and Varsakelis, Nikos C.";"";"The Journal of Economic Asymmetries";"2017";"15";NA;"48";"55";"10.1016/j.jeca.2016.12.001";"";"../../data/raw_data/sciencedirect_probability_of_patent.ris"
"25";"Svensson_2007_ResePoli";"Using a unique database on Swedish patents owned by small firms and individuals, survival models estimate how different factors influence the decision to commercialize the patents. Such an analysis has seemingly never previously been undertaken. Since the owners know more about the patents than potential external financiers, problems related to asymmetrical information are present. To overcome these problems when inventors and small technology-based firms need financing, Sweden has for a long time relied on government support rather than private venture capital firms. The empirical results show that the larger is the share of patent-owners costs covered by government financial support during the R&D phase, the lower is the probability of patents being commercialized. This lower degree of commercialization is likely to depend on (1) the soft terms of the government loans, where the patent owner can avoid paying back the loan if the patent is never commercialized and/or (2) that the government is not able to select promising projects. The first explanation is related to moral hazard and the second one to adverse selection. The policy suggestion is for government to change the design of the loans, to base them on firms rather than projects. Patents and R&D and Commercialization and External financing and Survival models";"Commercialization of patents and external financing during the R&D phase";"Using a unique database on Swedish patents owned by small firms and individuals, survival models estimate how different factors influence the decision to commercialize the patents. Such an analysis has seemingly never previously been undertaken. Since the owners know more about the patents than potential external financiers, problems related to asymmetrical information are present. To overcome these problems when inventors and small technology-based firms need financing, Sweden has for a long time relied on government support rather than private venture capital firms. The empirical results show that the larger is the share of patent-owners costs covered by government financial support during the R&D phase, the lower is the probability of patents being commercialized. This lower degree of commercialization is likely to depend on (1) the soft terms of the government loans, where the patent owner can avoid paying back the loan if the patent is never commercialized and/or (2) that the government is not able to select promising projects. The first explanation is related to moral hazard and the second one to adverse selection. The policy suggestion is for government to change the design of the loans, to base them on firms rather than projects.";"Patents and R&D and Commercialization and External financing and Survival models";"";"JOUR";"Svensson, Roger";"";"Research Policy";"2007";"36";"7";"1052";"1069";"10.1016/j.respol.2007.04.004";"";"../../data/raw_data/sciencedirect_probability_of_patent.ris"
"26";"Terry_2016_ThroRese";"Introduction Dysfunction of indwelling central venous catheters (CVC) due to tissue ingrowth or clotting is common. The study objective was to determine if the oral anticoagulant rivaroxaban (RIVA) improved CVC patency and inflammation in mice. Materials and methods Polyurethane catheters (0.5cm length) were placed unilaterally into the external jugular vein (EJV) of mice, which subsequently underwent daily gavage with either vehicle or RIVA (5mg/kg). CVC patency, as assessed by B-mode and Doppler ultrasound, and hematocrit were measured at 3, 7, 14 or 21days (n=811 mice/group/time-point). Plasma monocyte chemotactic protein-1 (MCP-1) levels were assessed by ELISA, EJV matrix metalloproteinase-9 (MMP-9) levels by western immunoblotting, and cell proliferation (anti-Ki67), macrophage infiltration (anti-MAC387) by immunostaining of EJV tissues. Results and conclusions Central venous catheters and Chemokine CCL2 and Inflammation and Rivaroxaban and Venous thrombosis";"Rivaroxaban improves patency and decreases inflammation in a mouse model of catheter thrombosis";"Introduction Dysfunction of indwelling central venous catheters (CVC) due to tissue ingrowth or clotting is common. The study objective was to determine if the oral anticoagulant rivaroxaban (RIVA) improved CVC patency and inflammation in mice. Materials and methods Polyurethane catheters (0.5cm length) were placed unilaterally into the external jugular vein (EJV) of mice, which subsequently underwent daily gavage with either vehicle or RIVA (5mg/kg). CVC patency, as assessed by B-mode and Doppler ultrasound, and hematocrit were measured at 3, 7, 14 or 21days (n=811 mice/group/time-point). Plasma monocyte chemotactic protein-1 (MCP-1) levels were assessed by ELISA, EJV matrix metalloproteinase-9 (MMP-9) levels by western immunoblotting, and cell proliferation (anti-Ki67), macrophage infiltration (anti-MAC387) by immunostaining of EJV tissues. Results and conclusions";"Central venous catheters and Chemokine CCL2 and Inflammation and Rivaroxaban and Venous thrombosis";"";"JOUR";"Terry, Christi M. and He, Yuxia and Cheung, Alfred K.";"";"Thrombosis Research";"2016";"144";NA;"106";"112";"10.1016/j.thromres.2016.06.008";"";"../../data/raw_data/sciencedirect_probability_of_patent.ris"
"27";"Aiello_2019_JoofPoMo";"This paper evaluates the role of public R&D support on Italian manufacturing SMEs innovation activities, focusing on innovation output rather than innovation input. Combining information from EPO records and the Capitalia survey, the new data set enables a counterfactual assessment of R&D policy from 2001 to 2003 (2009 is the final year of the post-treatment period). We find that publicly supported firms have higher R&D expenditure regardless of their characteristics, confirming a strong additionality effect of public policies on innovation inputs. However, this additional spending does not increase firms probability of patenting or the number of patents in comparison with privately financed R&D. Patents and R&D support and policy evaluation and SMEs";"Good value for public money? The case of R&D policy";"This paper evaluates the role of public R&D support on Italian manufacturing SMEs innovation activities, focusing on innovation output rather than innovation input. Combining information from EPO records and the Capitalia survey, the new data set enables a counterfactual assessment of R&D policy from 2001 to 2003 (2009 is the final year of the post-treatment period). We find that publicly supported firms have higher R&D expenditure regardless of their characteristics, confirming a strong additionality effect of public policies on innovation inputs. However, this additional spending does not increase firms probability of patenting or the number of patents in comparison with privately financed R&D.";"Patents and R&D support and policy evaluation and SMEs";"";"JOUR";"Aiello, Francesco and Albanese, Giuseppe and Piselli, Paolo";"";"Journal of Policy Modeling";"2019";NA;NA;NA;NA;"10.1016/j.jpolmod.2019.02.006";"";"../../data/raw_data/sciencedirect_probability_of_patent.ris"
"28";"Kato_2018_Tech";"Using a panel data set based on repeated questionnaire surveys of Japanese start-up firms, this study examines the effects of numerical labor flexibility on the innovation outcomes of start-up firms, a topic on which there is currently insufficient research. Here, numerical labor flexibility is defined as the external labor turnover of regular employees and the proportion of non-regular employees, and innovation outcomes include product innovation and patent applications. The estimation results of a random-effects probit model indicate that an inverted U-shaped relationship exists between the external labor turnover of regular employees and the probability of patent applications. Moreover, a similar U-shaped relationship exists between the proportion of non-regular employees and the probability of product innovation. These results are interpreted in light of the organizational characteristics of start-up firms. The implications of the findings are discussed. Start-up firm and Numerical labor flexibility and External labor turnover of regular employees and The proportion of non-regular employees and Product innovation and Patent applications and Panel data";"Numerical labor flexibility and innovation outcomes of start-up firms A panel data analysis";"Using a panel data set based on repeated questionnaire surveys of Japanese start-up firms, this study examines the effects of numerical labor flexibility on the innovation outcomes of start-up firms, a topic on which there is currently insufficient research. Here, numerical labor flexibility is defined as the external labor turnover of regular employees and the proportion of non-regular employees, and innovation outcomes include product innovation and patent applications. The estimation results of a random-effects probit model indicate that an inverted U-shaped relationship exists between the external labor turnover of regular employees and the probability of patent applications. Moreover, a similar U-shaped relationship exists between the proportion of non-regular employees and the probability of product innovation. These results are interpreted in light of the organizational characteristics of start-up firms. The implications of the findings are discussed.";"Start-up firm and Numerical labor flexibility and External labor turnover of regular employees and The proportion of non-regular employees and Product innovation and Patent applications and Panel data";"";"JOUR";"Kato, Masatoshi and Zhou, Haibo";"";"Technovation";"2018";"69";NA;"15";"27";"10.1016/j.technovation.2017.10.002";"";"../../data/raw_data/sciencedirect_probability_of_patent.ris"
"29";"Dodek_1973_AmerHearJour";"Forty-five patients having saphenous vein aortocoronary bypass surgery were studied prospectively by pre- and post-operative hypoxemia and graded exercise electrocardiography. The stress electrocardiographic results were correlated with the degree of symptomatic relief and the angiographic evidence of graft patency and the distribution and evolution of coronary occlusive disease. Forty-one of the total group of 45 patients (91 per cent) and 32 of 34 (94 per cent) with one or more documented open grafts had excellent or good symptomatic improvement. Incongruously, five of seven patients with closed grafts also had significant clinical improvement. Functional improvement was documented in 53 per cent of patients after aortocoronary bypass surgery, in terms of postoperative reversal of the preoperatively positive stress ECG or persistance of a negative stress ECG, together with the achievement of significantly greater mean maximum exercise and heart rate. All of these patients had one or more patent saphenous vein bypass grafts. Forty-seven per cent of the patients failed to display objective evidence of improvement post-operatively the stress ECG either remained positive, or became so, and, collectively, the group was unable to significantly increase the mean maximum exercise level or heart rate, in comparison to that achieved before surgery. Only 65 per cent of these subjects had one or more patent bypass grafts. Stress electrocardiography and quantitation of the maximum work and heart rate achieved by exercise provide accurate assessments of the relief of myocardial ischemia produced by myocardial revascularization. In this study, when the post-operative stress ECG was negative and the patient was able to achieve significantly greater exercise and heart rate, the probability of patency of one or more bypass grafts was virtually certain. On the other hand, when the postoperative stress ECG was positive and little or no increase in exercise and heart rate was possible, there was high probability of graft occlusion or significant residual coronary disease. NA";"Stress electrocardiography in the evaluation of aortocoronary bypass surgery";"Forty-five patients having saphenous vein aortocoronary bypass surgery were studied prospectively by pre- and post-operative hypoxemia and graded exercise electrocardiography. The stress electrocardiographic results were correlated with the degree of symptomatic relief and the angiographic evidence of graft patency and the distribution and evolution of coronary occlusive disease. Forty-one of the total group of 45 patients (91 per cent) and 32 of 34 (94 per cent) with one or more documented open grafts had excellent or good symptomatic improvement. Incongruously, five of seven patients with closed grafts also had significant clinical improvement. Functional improvement was documented in 53 per cent of patients after aortocoronary bypass surgery, in terms of postoperative reversal of the preoperatively positive stress ECG or persistance of a negative stress ECG, together with the achievement of significantly greater mean maximum exercise and heart rate. All of these patients had one or more patent saphenous vein bypass grafts. Forty-seven per cent of the patients failed to display objective evidence of improvement post-operatively the stress ECG either remained positive, or became so, and, collectively, the group was unable to significantly increase the mean maximum exercise level or heart rate, in comparison to that achieved before surgery. Only 65 per cent of these subjects had one or more patent bypass grafts. Stress electrocardiography and quantitation of the maximum work and heart rate achieved by exercise provide accurate assessments of the relief of myocardial ischemia produced by myocardial revascularization. In this study, when the post-operative stress ECG was negative and the patient was able to achieve significantly greater exercise and heart rate, the probability of patency of one or more bypass grafts was virtually certain. On the other hand, when the postoperative stress ECG was positive and little or no increase in exercise and heart rate was possible, there was high probability of graft occlusion or significant residual coronary disease.";NA;"";"JOUR";"Dodek, Arthur and Kassebaum, Donald G. and Griswold, Herbert E.";"";"American Heart Journal";"1973";"86";"3";"292";"307";"10.1016/0002-8703(73)90038-0";"";"../../data/raw_data/sciencedirect_probability_of_patent.ris"
"30";"Huang_2015_JoofEnanTeMa";"We distinguish between two firm patenting behaviors (never patent and always patent) and present a two-factor (capability and willingness) patenting behavior framework to enrich existing research. We examine innovative activities on 165 Taiwanese information and communication technology firms by using a zero-inflated Poisson regression model. Our results suggest that determinants of increasing probability of patenting are not completely the same as ones of decreasing probability of not patenting. Moreover, while capability factors are positively associated with propensity to patent, willingness factors moderate the relationship between capability factors and propensity to patent. Patenting and Innovation competence and Innovation and Zero-inflated Poisson regression model and Patent";"Determinants of firms patenting or not patenting behaviors";"We distinguish between two firm patenting behaviors (never patent and always patent) and present a two-factor (capability and willingness) patenting behavior framework to enrich existing research. We examine innovative activities on 165 Taiwanese information and communication technology firms by using a zero-inflated Poisson regression model. Our results suggest that determinants of increasing probability of patenting are not completely the same as ones of decreasing probability of not patenting. Moreover, while capability factors are positively associated with propensity to patent, willingness factors moderate the relationship between capability factors and propensity to patent.";"Patenting and Innovation competence and Innovation and Zero-inflated Poisson regression model and Patent";"";"JOUR";"Huang, Kuo-Feng and Cheng, Tsung-Chi";"";"Journal of Engineering and Technology Management";"2015";"36";NA;"52";"77";"10.1016/j.jengtecman.2015.05.003";"";"../../data/raw_data/sciencedirect_probability_of_patent.ris"
"31";"Meng_2016_ResePoli";"Drawing upon the theory of gender frame, the research on gender in science, and social network studies, this paper focuses on the social mechanism of collaboration, specifically the boundary-spanning collaboration, to understand the gender gap in academic patenting in the U.S. Correspondingly, the author developed a few hypotheses for empirical testing. The results show that, else being equal, only collaboration with industry would significantly increase the probability of patenting for female academic scientists, but this helps explain considerable difference in patenting between female and male academics. The findings are discussed along with the limitations and policy implications at the end. Gender and Academic patenting and Science and Collaboration and Network and Social capital";"Collaboration patterns and patenting Exploring gender distinctions";"Drawing upon the theory of gender frame, the research on gender in science, and social network studies, this paper focuses on the social mechanism of collaboration, specifically the boundary-spanning collaboration, to understand the gender gap in academic patenting in the U.S. Correspondingly, the author developed a few hypotheses for empirical testing. The results show that, else being equal, only collaboration with industry would significantly increase the probability of patenting for female academic scientists, but this helps explain considerable difference in patenting between female and male academics. The findings are discussed along with the limitations and policy implications at the end.";"Gender and Academic patenting and Science and Collaboration and Network and Social capital";"";"JOUR";"Meng, Yu";"";"Research Policy";"2016";"45";"1";"56";"67";"10.1016/j.respol.2015.07.004";"";"../../data/raw_data/sciencedirect_probability_of_patent.ris"
"32";"Payelle_1997_AnofVaSu";"Between March 1987 and March 1993 we used pulsed transthrombotic fibrinolysis to treat 58 symptomatic thrombotic occlusions of lower limb bypass grafts in 45 patients. There were 17 suprainguinal grafts and 28 infrainguinal grafts. Treatment consisted of pulsed infusion of fibrinolytic agents into the thrombus followed by continuous infusion using an electric pump. Minor percutaneous or surgical procedures were often associated. The mean delay to treatment was 7 days. The mean duration of treatment was 150 66 minutes. Immediate patency was achieved in 88% of cases with no significant difference between suprainguinal and infrainguinal grafts. The clinical success rate was 55%. Actuarial patency at 1 year was 54% 11% for suprainguinal grafts and 26% 7% for infrainguinal grafts. The probability of patency was much lower in patients whose grafts had been implanted within 3 months before occlusion and in patients in whom an adjuvant procedure had not been performed. This study demonstrates that, in cases not requiring immediate surgery, pulsed transthrombotic fibrinolysis can achieve durable patency by treating both the bypass and distal arterial network. This technique allows identification of lesions causing thrombosis and adaptation of treatment specifically to these lesions. NA";"Pulsed Transthrombotic Fibrinolysis Technique and Results in the Management of Occluded Lower Limb Bypass Grafts";"Between March 1987 and March 1993 we used pulsed transthrombotic fibrinolysis to treat 58 symptomatic thrombotic occlusions of lower limb bypass grafts in 45 patients. There were 17 suprainguinal grafts and 28 infrainguinal grafts. Treatment consisted of pulsed infusion of fibrinolytic agents into the thrombus followed by continuous infusion using an electric pump. Minor percutaneous or surgical procedures were often associated. The mean delay to treatment was 7 days. The mean duration of treatment was 150 66 minutes. Immediate patency was achieved in 88% of cases with no significant difference between suprainguinal and infrainguinal grafts. The clinical success rate was 55%. Actuarial patency at 1 year was 54% 11% for suprainguinal grafts and 26% 7% for infrainguinal grafts. The probability of patency was much lower in patients whose grafts had been implanted within 3 months before occlusion and in patients in whom an adjuvant procedure had not been performed. This study demonstrates that, in cases not requiring immediate surgery, pulsed transthrombotic fibrinolysis can achieve durable patency by treating both the bypass and distal arterial network. This technique allows identification of lesions causing thrombosis and adaptation of treatment specifically to these lesions.";NA;"";"JOUR";"Payelle, Gilles and Maiza, Dominique and Coffin, Olivier and Alachkar, Fadi and Alsweis, Suhail and Courtheoux, Patrick and Khayat, Marie-Chantal and Grard, Jean-Louis and Thron, Jacques";"";"Annals of Vascular Surgery";"1997";"11";"2";"159";"164";"10.1007/s100169900027";"";"../../data/raw_data/sciencedirect_probability_of_patent.ris"
"34";"Pantano_2018_JoofReanCoSe";"Previous studies have demonstrated the extent to which an analysis of patent growth can be used to study the innovation level of a certain industry, national competitiveness in terms of technological innovation, and the inventive capacity in a specific domain etc. In terms of the retail industry, there is a propensity for patenting and an increasing consumer demand for technological innovation. In fact, integrating innovative technologies, including innovative systems for conducting product searches and comparisons, and for paying, are one of the most efficient ways to create value for businesses. Building on a historical series of patents from 1990 to 2015, this paper explores the trends in the sector, analysing the increasing number of patents. Secondly it develops a predictive curve, a technology-push curve (TPC) for making some predictions about the future directions in the retail industry that might affect retailers competitiveness and subsequent innovation management strategies. Patent analysis and Retailing and Innovation management and Retailer competitiveness and Technology-push curve (TPC)";"Knowledge Push Curve (KPC) in retailing Evidence from patented innovations analysis affecting retailers' competitiveness";"Previous studies have demonstrated the extent to which an analysis of patent growth can be used to study the innovation level of a certain industry, national competitiveness in terms of technological innovation, and the inventive capacity in a specific domain etc. In terms of the retail industry, there is a propensity for patenting and an increasing consumer demand for technological innovation. In fact, integrating innovative technologies, including innovative systems for conducting product searches and comparisons, and for paying, are one of the most efficient ways to create value for businesses. Building on a historical series of patents from 1990 to 2015, this paper explores the trends in the sector, analysing the increasing number of patents. Secondly it develops a predictive curve, a technology-push curve (TPC) for making some predictions about the future directions in the retail industry that might affect retailers competitiveness and subsequent innovation management strategies.";"Patent analysis and Retailing and Innovation management and Retailer competitiveness and Technology-push curve (TPC)";"";"JOUR";"Pantano, Eleonora and Priporas, Constantinos-Vasilios and Stylos, Nikolaos";"";"Journal of Retailing and Consumer Services";"2018";"44";NA;"150";"160";"10.1016/j.jretconser.2018.06.004";"";"../../data/raw_data/sciencedirect_propensity_to_patent.ris"
"35";"Bann_2016_JoofFaBuSt";"This paper provides new evidence of innovation processes in family firms by investigating their attitude toward the protection of innovation outputs. More specifically, the main objective is to understand, through the SEW (Socioemotional Wealth) lens, whether innovative family firms tend to use patents as a tool for protecting intellectual property. Based on a sample of 229 Italian companies that make R&D investments, our analysis highlights that degree of alignment with the family business model is a significant predictor of a firms attitude toward protecting innovation with patents, even though not all of the dimensions of a family business have the same effect. When disentangling the effect of three different indicators (i.e., family ownership, family governance and the presence of young successors), family involvement in the board of directors is a negative significant driver, the presence of young successors is a positive driver, and ownership has no effect. Family firms and Propensity to patent and Empirical analysis";"Propensity to patent by family firms";"This paper provides new evidence of innovation processes in family firms by investigating their attitude toward the protection of innovation outputs. More specifically, the main objective is to understand, through the SEW (Socioemotional Wealth) lens, whether innovative family firms tend to use patents as a tool for protecting intellectual property. Based on a sample of 229 Italian companies that make R&D investments, our analysis highlights that degree of alignment with the family business model is a significant predictor of a firms attitude toward protecting innovation with patents, even though not all of the dimensions of a family business have the same effect. When disentangling the effect of three different indicators (i.e., family ownership, family governance and the presence of young successors), family involvement in the board of directors is a negative significant driver, the presence of young successors is a positive driver, and ownership has no effect.";"Family firms and Propensity to patent and Empirical analysis";"";"JOUR";"Bann, Mariasole";"";"Journal of Family Business Strategy";"2016";"7";"4";"238";"248";"10.1016/j.jfbs.2016.07.002";"";"../../data/raw_data/sciencedirect_propensity_to_patent.ris"
"36";"Barros_2015_Tech";"Most observations of the patent behavior of firms are derived from institutional environments in which relatively strong protection can be obtained, even if patents per se are imperfect protection mechanisms. As a result, the determinants of a firm's propensity to patent in a weak appropriability regime are still unclear. This paper advances our current understanding of patent behavior by exploring the effects of manufacturing firms innovation partnerships, foreign ownership, and adoption of new management practices on the likelihood of patenting. Our analysis is based on the responses of firms to questions in the Brazilian Industrial Survey of Technological Innovation (Pintec). The findings presented here indicate that, despite the weaknesses of the patent system, firms engaged in innovation-oriented collaborations are more likely to patent than firms not involved in these partnerships. Additionally, the results reveal that domestic and foreign firms in a weak institutional environment are similar in their inclination to patent. Finally, the empirical exercise shows that when a patent system is characterized by high levels of formalism and low levels of safeguarding against infringements of property rights firms adopt novel management practices as substitutes for patents. Patent and Partnership and Multinational enterprises (MNEs) and Management practices and Institutions and Brazil";"Exploring the use of patents in a weak institutional environment The effects of innovation partnerships, firm ownership, and new management practices";"Most observations of the patent behavior of firms are derived from institutional environments in which relatively strong protection can be obtained, even if patents per se are imperfect protection mechanisms. As a result, the determinants of a firm's propensity to patent in a weak appropriability regime are still unclear. This paper advances our current understanding of patent behavior by exploring the effects of manufacturing firms innovation partnerships, foreign ownership, and adoption of new management practices on the likelihood of patenting. Our analysis is based on the responses of firms to questions in the Brazilian Industrial Survey of Technological Innovation (Pintec). The findings presented here indicate that, despite the weaknesses of the patent system, firms engaged in innovation-oriented collaborations are more likely to patent than firms not involved in these partnerships. Additionally, the results reveal that domestic and foreign firms in a weak institutional environment are similar in their inclination to patent. Finally, the empirical exercise shows that when a patent system is characterized by high levels of formalism and low levels of safeguarding against infringements of property rights firms adopt novel management practices as substitutes for patents.";"Patent and Partnership and Multinational enterprises (MNEs) and Management practices and Institutions and Brazil";"";"JOUR";"Barros, Henrique M.";"";"Technovation";"2015";"45-46";NA;"63";"77";"10.1016/j.technovation.2015.05.003";"";"../../data/raw_data/sciencedirect_propensity_to_patent.ris"
